ID, Distance
1,6.825
2,5.3
3,5.9
4,6.8
5,8.25
6,8.6
7,6.2
8,6.3
9,6.8
10,1.6
11,1.4
12,1.0
13,2.0
14,2.6
15,4.9
16,4.8
17,4.7
18,3.55
19,3.75
20,3.3
21,2.6
22,2.3667
23,1.75
24,5.35
25,4.0
26,6.6
27,10.267
28,6.5
29,7.575
30,8.5
31,5.4
32,2.8
33,2.1
34,6.0
35,5.0
36,6.6
37,9.2
38,7.54
39,5.9
40,5.3333
41,3.4
42,4.0
43,2.45
44,1.1
45,2.3
46,1.35
47,5.8
48,4.3
49,6.1
50,8.8333
51,6.1
52,3.05
53,2.5
54,2.9
55,12.35
56,12.880
57,11.6
58,11.0143
59,9.0
60,11.4
61,11.56
62,9.5333
63,8.06
64,6.4
65,8.1
66,6.0333
67,6.1
68,4.0
69,8.4875
70,11.2
71,7.0333
72,8.6
73,6.6571
74,6.8
75,7.3
76,3.0
77,3.6
78,3.9
79,3.9
80,3.15
81,3.7
82,4.3667
83,3.2
84,4.3
85,1.15
86,2.45
87,5.6
88,7.4
89,7.7
90,7.9333
91,10.0
92,5.5
93,3.2
94,3.45
95,3.9
96,3.9
97,3.5
98,5.0
99,3.9
100,1.55
101,3.2
102,2.0