ID, Time
1,78.0
2,36.0
3,47.0
4,42.0
5,90.0
6,42.0
7,38.0
8,19.0
9,34.0
10,18.0
11,16.0
12,13.0
13,16.0
14,26.0
15,42.0
16,42.0
17,38.0
18,31.0
19,33.0
20,31.0
21,22.0
22,25.0
23,15.5
24,41.0
25,28.666666666666668
26,46.5
27,65.0
28,45.0
29,45.5
30,40.0
31,36.0
32,25.75
33,26.0
34,33.0
35,44.0
36,41.75
37,73.0
38,42.0
39,43.0
40,44.666666666666664
41,24.0
42,28.0
43,28.5
44,17.0
45,20.0
46,18.0
47,46.25
48,55.0
49,46.5
50,57.0
51,50.25
52,21.5
53,26.5
54,25.0
55,69.0
56,55.77777777777778
57,63.0
58,53.857142857142854
59,49.0
60,22.0
61,64.2
62,54.333333333333336
63,45.6
64,50.0
65,53.142857142857146
66,35.666666666666664
67,34.833333333333336
68,29.0
69,54.5
70,63.166666666666664
71,49.666666666666664
72,49.5
73,40.57142857142857
74,38.0
75,43.0
76,37.0
77,30.0
78,34.0
79,42.0
80,32.0
81,31.0
82,39.333333333333336
83,28.5
84,43.0
85,13.0
86,40.0
87,41.0
88,45.0
89,25.0
90,32.0
91,19.0
92,43.0
93,26.0
94,28.0
95,31.0
96,38.0
97,33.0
98,39.0
99,42.8
100,19.5
101,40.0
102,22.0